First name,Last name,Preferred title,Overview,Position,Department,Individual
Fatima,Alshbool,Assistant Professor,"Dr. Fatima Alshbool is an Assistant Professor, who joined the Rangel College of Pharmacy in February 2020. She is a pharmacist and a pharmacologist by training, having received her Pharm.D. degree (2006) from Jordan University of Science & Technology and her PhD degree (2014) from Loma Linda University. Dr. Alshbool's research program is focused on studying cardiovascular/thromboembolic disorders, such as heart attacks and stroke, particularly as they relate to platelet activation and signal transduction, including in the context of environmental health. One of her laboratory's main areas of focus has been investigating the impact of a relatively new form of tobacco smoking, namely e-cigarettes on platelet biology and associated diseases. She is also interested in defining the structural biology of platelet G-protein Coupled Receptors; amongst others. Dr. Alshbool's ultimate goal is to identify new therapeutic agents for the prevention or treatment of cardiovascular disease, and to gain insight into the negative impact of ""tobacco"" exposure on cardiovascular health.",Assistant Professor,Pharmacy Practice,https://scholars.library.tamu.edu/vivo/display/n1989ad2e
Izzat,Alsmadi,TEES Researcher at TAMU-San Antonio,"Izzat Alsmadi is an Associate Professor in the department of computing and cyber security at the Texas A&M, San Antonio. He has his master and PhD in Software Engineering from North Dakota State University in 2006 and 2008 respectively. <br /><br />He has more than 100 conference and journal publications. His research interests include: Cyber intelligence, Cyber security, Software security, software testing, social networks and software defined networking. He is lead author, editor in several books including: Springer, The NICE Cyber Security Framework Cyber Security Intelligence and Analytics, 2019, Practical Information Security: A Competency-Based Education Course, 2018, Information Fusion for Cyber-Security Analytics (Studies in Computational Intelligence), 2016.","Associate Professor, Department of Computing and Cyber-Security||TEES Researcher at TAMU-San Antonio","Texas A&M University – San Antonio - (San Antonio, Txas, United States)||Texas A&M University – San Antonio - (San Antonio, Texas, United States)||TEES Regional Divisions",https://scholars.library.tamu.edu/vivo/display/neb08aae9
Tariq,Alsmadi,Clinical Assistant Professor,,Clinical Assistant Professor,Endodontics,https://scholars.library.tamu.edu/vivo/display/n4a29fc0d
Alicia,Altemose,Lecturer,,Lecturer,Chemistry,https://scholars.library.tamu.edu/vivo/display/n6928df60
Stephen,Alton,Professor and Associate Dean,"I have written in the fields of legal education, legal history and law and literature. Currently, I'm researching the property law issues that arise in Victorian literature.",Professor and Associate Dean,School of Law,https://scholars.library.tamu.edu/vivo/display/nd522fec6
Alberto,Alvarado,Lecturer,,Lecturer,"Math, Physical, & Engineering Sciences",https://scholars.library.tamu.edu/vivo/display/nb125e863
Jorge,Alvarado,Professor,"Dr. Jorge Alvarado is a professor in the Department of Engineering Technology and Industrial Distribution at Texas A&M University (TAMU).  He holds a joint-appointment in the Department of Mechanical Engineering at TAMU.  He teaches courses in the areas of thermal sciences, fluid mechanics, and fluid power.  Dr. Alvarado's research interests are in the areas of nanotechnology, micro-scale heat transfer, electronic cooling, phase change materials, thermal storage, bio-fuel combustion, and energy conservation and use of renewable energy in buildings.  He received his BS degree in mechanical engineering (1991) from the University of Puerto Rico at Mayag?ez; MS (2000) and PhD (2004) degrees in mechanical engineering from the University of Illinois at Urbana-Champaign.<br /><br /><br /><br />He has worked and collaborated with the U. S. Army Corps of Engineers, Office of Naval Research (ONR), and the University of Wisconsin at Madison and University of Illinois at Urbana-Champaign, among others.  Recent work involves enhanced condensation using hybrid surfaces with hydrophobic and hydrophilic properties, characterization of microencapsulated phase change material slurry and nanoparticles as heat transfer fluids, as well as the study of spray and droplet impingement cooling using nanostructured surfaces. He and his research team have also characterized experimentally the flow behavior and heat transfer performance of a heat exchanger consisting of vortex generators.",Faculty Affiliate||Professor,Engineering Technology and Industrial Distribution||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n1e1547d1
Leonel,Alvarado,Associate Professor of the Practice,,Associate Professor of the Practice,College of Engineering,https://scholars.library.tamu.edu/vivo/display/n9467f679
Jaime,Alvarado-Bremer,Professor,,Associate Professor||Professor,Wildlife and Fisheries Sciences||Marine Biology,https://scholars.library.tamu.edu/vivo/display/n5b437859
Michael,Alvard,Associate Professor,"My research focuses on culture and biology, cooperation, human evolutionary ecology, horticulturalists; hunters and gatherers, local people and environmental issues, and adaptation to the tropics.",Associate Professor,Anthropology,https://scholars.library.tamu.edu/vivo/display/n7e0dd366
Andrea,Alvarez,Instructional Assistant Professor,,Instructional Assistant Professor,Health and Kinesiology,https://scholars.library.tamu.edu/vivo/display/n91bff4d5
Martha,Alvarez,Adjunct Assistant Professor,,Adjunct Assistant Professor,Pediatric Dentistry,https://scholars.library.tamu.edu/vivo/display/na17cf5ac
Nayef,Alyafei,Assistant Professor,"Dr. Alyafei has interests in multi-phase flow in porous media research mainly on spontaneous imbibition and wettability studies. In particular, research on capillary trapping phenomena on both the macro and micro scales.",Assistant Professor,Petroleum Engineering (Qatar),https://scholars.library.tamu.edu/vivo/display/nb1355cc3
Mahmood,Amani,Professor,"Mahmood Amani, the Petroleum Engineering Program Coordinator at Texas A&M University at Qatar, has broad experience in both industry and academia. He holds 2 U.S. Patents.<br /><br /><br /><br />o Drilling<br /><br />o Production",Associate Professor,Petroleum Engineering (Qatar),https://scholars.library.tamu.edu/vivo/display/nd3457476
Ernesto,Amaral,Associate Professor,My research interests are related to:<br /><br />- Social demography<br /><br />- Migration<br /><br />- Public policy analysis<br /><br /><br /><br />My teaching interests include:<br /><br />- Demography<br /><br />- Migration<br /><br />- Methods<br /><br />- Social statistics<br /><br />- Public policy analysis,"Associate Professor, Sociology",The Texas A&M University System,https://scholars.library.tamu.edu/vivo/display/ne3fa0873
Nancy,Amato,Professor - Term Appointment,,Professor - Term Appointment,Computer Science and Engineering,https://scholars.library.tamu.edu/vivo/display/n2dbda4fc
Robert,Ambrose,Professor,,Professor,Mechanical Engineering,https://scholars.library.tamu.edu/vivo/display/n0d67adc3
Ahmad,Amiri,Visiting Assistant Professor,"Dr. Amiri's current research focuses on energy materials, nanomaterials (specifically, 2D Materials), structural materials, and water treatments.",Faculty Affiliate||Visiting Assistant Professor,Mechanical Engineering||Energy Institute,https://scholars.library.tamu.edu/vivo/display/nb98c187f
Mojan,Amirlak,Adjunct Assistant Professor,,Adjunct Assistant Professor,Department of Comprehensive Dentistry,https://scholars.library.tamu.edu/vivo/display/n20154465
Rainer,Amon,Professor,,Professor,Marine Sciences,https://scholars.library.tamu.edu/vivo/display/nb4b1ebd8
Nicole,Amos,Executive Assistant Professor,,Executive Assistant Professor,Finance,https://scholars.library.tamu.edu/vivo/display/n14fa7519
Stephen,Amosson,Professor and Extension Specialist,,Professor and Extension Specialist,Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/nee009fb5
Hubert,Amrein,Professor and Senior Associate Dean of Research,"My broad research interests are concerned with the sensory perception of the external chemical world. The central questions investigated in our laboratory are concerned with how animals detect and discriminate among the thousands of different chemical signals that ""flood"" the olfactory and taste organs. Our laboratory uses Drosophila as a model to study these problems because the Drosophilachemosensory systems are structurally and functionally very similar to those of mammals, yet they are smaller and somewhat less complex, which makes them excellent models to investigate the molecular and neural basis of olfaction and taste.",Senior Associate Dean of Research||Professor,Molecular and Cellular Medicine||College of Medicine,https://scholars.library.tamu.edu/vivo/display/n0839ec95
Yonghong,An,Associate Professor,,Associate Professor,Economics,https://scholars.library.tamu.edu/vivo/display/nb133d638
N. K.,Anand,Vice President for Faculty Affairs,"My research focuses on condensation heat transfer, numerical heat transfer and fluid flow, numerical techniques, heat exchangers, porous media, and aerosols. We have a Computational Heat Transfer Laboratory (CHTL) in the Department of Mechanical Engineering at Texas A&M University. The laboratory's vision is to impact today's technology and academics in the area of heat transfer and fluid dynamics by quality research and study.",Associate Director||Faculty Affiliate||James and Ada Forsyth Professor||Executive Associate Dean,Texas A&M Engineering Experiment Station (TEES)||Mechanical Engineering||Energy Institute||College of Engineering,https://scholars.library.tamu.edu/vivo/display/ne5044d4a
